analysis_id,z6ue8hanw5124tr
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_011_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Coat - hair distribution - back
mouse_strain,C57BL
pvalue,0.6802686
