analysis_id,928w2z00kk6w564
parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:88479
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
pvalue,0.5366562
gene_symbol,Cpa3
