analysis_id,ixl593gq2012j53
parameter_name,Lens Opacity
mouse_strain,C57BL
pvalue,0.3791108
gene_symbol,Dcaf12
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
