analysis_id,uvr9y08s299wg53
gene_symbol,Rab3gap2
pvalue,0.5235775
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1916043
parameter_id,JAXLA_DXA_007_001
