analysis_id,e305970e5g807o4
pvalue,0.9930941
parameter_name,RR
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
gene_symbol,Bach2
gene_accession_id,MGI:894679
