gene_symbol,Nr0b2
parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
mouse_strain,B6J
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
pvalue,0.8569593
analysis_id,48ahsmgi44p1fup
