analysis_id,lbc98y23go407al
parameter_id,JAX_OFD_009_001
mouse_strain,C57BL
parameter_name,Whole arena average speed
pvalue,0.3279897
gene_symbol,Wars2
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
