analysis_id,76539helo53h71h
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.4364692
parameter_id,MGP_MLN_071_001
gene_symbol,Cpa3
mouse_strain,C57BL
gene_accession_id,MGI:88479
