parameter_name,Center distance travelled
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_strain,C57BL
analysis_id,4s7a8n5v39gbos9
pvalue,0.9100158
mouse_life_stage,Early adult
