analysis_id,0239ko281ss3dbp
parameter_name,Total Treg cells - % of CD45+
gene_symbol,Cdin1
pvalue,0.8731981
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
parameter_id,MGP_IMM_076_001
