gene_symbol,Inpp1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,62z6e95ruc358uk
pvalue,0.3779542
parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:104848
