parameter_id,M-G-P_026_001_004
mouse_strain,C57BL
parameter_name,Coat colouration
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
analysis_id,mu4ig9f93y342q4
pvalue,0.4587571
