gene_symbol,Ppm1j
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total T cell percentage
pvalue,0.3318621
gene_accession_id,MGI:1919137
analysis_id,905q7q5j0530090
