gene_symbol,Cdin1
pvalue,0.2950054
parameter_id,IMPC_EYE_062_001
mouse_life_stage,E9.5
analysis_id,x8f6c1da9qr35t2
parameter_name,Right total retinal thickness
mouse_strain,C57BL
gene_accession_id,MGI:3026886
