analysis_id,q1949133u9z328q
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_024_001
parameter_name,Retinal Blood Vessels
pvalue,0.7799534
gene_symbol,Dnajc6
mouse_strain,C57BL
gene_accession_id,MGI:1919935
