mouse_strain,C3H
analysis_id,r48qzk3ca87fvl1
pvalue,0.8681711
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
