analysis_id,769z3m430bmtu69
gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_name,Eosinophils - % of CD45+
pvalue,0.5483932
parameter_id,MGP_IMM_125_001
mouse_strain,C57BL
gene_accession_id,MGI:1915678
