analysis_id,7sk27jd9i2h5w23
gene_symbol,Mapkap1
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
pvalue,0.2419227
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell number
parameter_id,MGP_PBI_031_001
