analysis_id,h8351z12zcrc5os
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
pvalue,0.05622272
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
mouse_strain,C57BL
