analysis_id,3mx66gmp5g9d608
mouse_strain,C57BL
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
pvalue,0.2502198
gene_accession_id,MGI:1915087
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Tiprl
