gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
Analysis_id,zz5ban8bsnx4z23
mouse_life_stage,E18.5
mouse_strain,C57BL
Parameter_id,IMPC_IMM_006_001
Pvalue,0.7542289
parameter_name,Others
