gene_symbol,Trp53i11
pvalue,0.2336064
analysis_id,g4d949q31g4586s
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2670995
parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
