analysis_id,w347s1xg6socz55
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
parameter_name,Lymphocyte differential count
parameter_id,IMPC_HEM_031_001
pvalue,0.8996073
mouse_life_stage,Early adult
mouse_strain,C57BL
