parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:105072
mouse_strain,C57BL
parameter_id,ESLIM_011_001_703
pvalue,0.8428069
gene_symbol,Rab22a
analysis_id,n1b95id83q5u1tz
mouse_life_stage,Early adult
