analysis_id,334h2aaq3ne2r38
parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
pvalue,0.2036668
