gene_symbol,Ahcy
mouse_life_stage,E12.5
analysis_id,b61204ob7be3dc8
mouse_strain,C57BL
gene_accession_id,MGI:87968
parameter_id,IMPC_XRY_001_001
parameter_name,Skull shape
pvalue,0.05896572
