Gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
Mouse_strain,C57BL
Pvalue,0.8324613
parameter_name,B2B Cells
Analysis_id,8484hi0v95ck692
Parameter_id,IMPC_IMM_065_001
