analysis_id,0o4m6mz9b7r3wu5
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
gene_symbol,Lamb3
pvalue,0.8383361
gene_accession_id,MGI:99915
parameter_name,KLRG1+ gd T cells - % of CD45+
