parameter_name,Embryo turning
pvalue,0.6905746
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
gene_symbol,Trim46
analysis_id,723d168g01e8pk5
mouse_strain,C57BL
gene_accession_id,MGI:2673000
