analysis_id,cmyk728nd7jkr91
gene_accession_id,MGI:1919935
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
pvalue,0.7296342
parameter_name,Fat mass
gene_symbol,Dnajc6
