gene_symbol,Car13
parameter_id,IMPC_XRY_025_001
pvalue,0.672866
gene_accession_id,MGI:1931322
analysis_id,e0o033xuyfd7ff6
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Tibia
