parameter_name,Tremor
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
analysis_id,f3k4m4jfafa11pk
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
pvalue,0.2907244
gene_accession_id,MGI:109356
