analysis_id,ujhecif556z2845
parameter_name,Bone Mineral Content
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
parameter_id,ESLIM_005_001_005
pvalue,0.117603
