parameter_name,QT
mouse_strain,C57BL
Parameter_id,IMPC_ECG_028_001
Analysis_id,g874oe87340i1xg
pvalue,0.6037096
gene_accession_id,MGI:1916220
gene_symbol,Dcaf12
mouse_life_stage,Early adult
