analysis_id,018fk400b19r978
pvalue,0.296838
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_027_001
parameter_name,Persistence of hyaloid vascular system
mouse_strain,C57BL
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
