parameter_id,IMPC_CSD_016_001
pvalue,0.2087621
gene_accession_id,MGI:1920638
parameter_name,Coat - hair texture / appearance - abdomen
gene_symbol,Bpifa3
analysis_id,2cfja25ci0r0dan
mouse_strain,C57BL
mouse_life_stage,Early adult
