gene_symbol,Psd4
mouse_strain,C57BL
gene_accession_id,MGI:2674093
pvalue,0.549543
analysis_id,36y5049y5k8t008
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
parameter_name,B Cells
