analysis_id,l51ewghe02c726q
mouse_strain,C57BL
parameter_name,Center resting time
pvalue,0.3221254
gene_symbol,Rgs20
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
