parameter_name,Click-evoked ABR threshold
analysis_id,76117d37g7ck8xf
gene_accession_id,MGI:103302
pvalue,0.3045305
parameter_id,IMPC_ABR_002_001
gene_symbol,Bmp7
mouse_life_stage,Early adult
mouse_strain,C57BL
