gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_name,End-Systolic Diameter
mouse_life_stage,Early adult
analysis_id,p748tkm83h97cao
pvalue,1.439306
mouse_strain,129SV
parameter_id,IMPC_ECH_001_001
