analysis_id,b0i0688i3lyg0eh
gene_accession_id,MGI:1917810
parameter_id,IMPC_GEL_006_001
pvalue,0.7095736
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Pericardium Morphology
