parameter_name,White blood cell count
mouse_strain,C57BL
gene_symbol,Tiprl
mouse_life_stage,E9.5
parameter_id,IMPC_HEM_001_001
pvalue,0.5854818
analysis_id,k9o3nnwmq78ma83
gene_accession_id,MGI:1915087
