analysis_id,y0227vhihsz2051
parameter_name,Limb grasping
mouse_strain,C57BL
gene_symbol,Snrpb2
pvalue,0.9852222
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
parameter_id,ESLIM_008_001_017
