parameter_name,CV
mouse_strain,C57BL
pvalue,0.2970486
analysis_id,7e0923dh501qqro
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:1918345
gene_symbol,Kif24
