parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
pvalue,0.8740722
mouse_life_stage,Early adult
analysis_id,72sraf869e37332
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
