analysis_id,t4b9b971c491u6j
mouse_strain,C57BL
pvalue,0.248955
parameter_name,PP3 + pulse startle magnitude
gene_symbol,Ints7
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
