parameter_name,Number of centre entries
pvalue,0.8422813
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
analysis_id,dmr269y0q97iu96
parameter_id,ESLIM_007_001_015
