parameter_id,MGP_MLN_064_001
mouse_life_stage,E12.5
pvalue,0.6796848
mouse_strain,C57BL
analysis_id,l42m2tsx6g49983
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
parameter_name,Total CD4+ T cells - % of CD45+
