analysis_id,250we404o5793z0
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7604423
