gene_symbol,Rnf114
pvalue,0.06291712
analysis_id,70g54lzcub814u3
parameter_id,HRWLLA_OFD_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1933159
parameter_name,Periphery resting time
