gene_symbol,Tox
analysis_id,mqk7vf4jd1jhanr
pvalue,0.9211629
gene_accession_id,MGI:2181659
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
parameter_id,MGP_MLN_006_001
mouse_strain,C57BL
