analysis_id,9x31m7ou2554toy
gene_symbol,Bcs1l
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
parameter_name,Resting CD8+ T cells - % of CD45+
parameter_id,MGP_IMM_082_001
pvalue,0.2010268
