parameter_name,Limb grasp
gene_accession_id,MGI:2444777
pvalue,1.197612
gene_symbol,Ncaph
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_039_001
analysis_id,daa76q7d57207c5
