parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
gene_symbol,Tiprl
analysis_id,z8mc8e99ou025mr
mouse_life_stage,Early adult
pvalue,0.3104461
gene_accession_id,MGI:1915087
mouse_strain,C57BL
