parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
analysis_id,w9256476po478ts
mouse_strain,C57BL
pvalue,0.7417962
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:108072
gene_symbol,Traf6
