mouse_life_stage,E12.5
parameter_name,Snout size
gene_symbol,Eprs1
parameter_id,IMPC_CSD_028_001
pvalue,0.3560461
analysis_id,h75kxzw80nzxdp9
mouse_strain,C57BL
gene_accession_id,MGI:97838
