mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
analysis_id,5m2vpueaqg3295d
parameter_id,IMPC_FEA_106_001
pvalue,0.1003893
gene_symbol,Hpca
gene_accession_id,MGI:1336200
