parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_symbol,Slc17a9
analysis_id,4p27y6q8o8xy3fu
pvalue,0.8216867
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1919107
