gene_symbol,Jun
parameter_name,Caudal processes
gene_accession_id,MGI:96646
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.4031138
analysis_id,e8t7gz8zmxq4z5b
parameter_id,IMPC_XRY_067_001
