analysis_id,7l5h180574fh1u8
pvalue,0.08839979
parameter_name,B2B Cells
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
