parameter_name,Joints
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
gene_symbol,Rap2b
analysis_id,0n845809zj0m7e4
gene_accession_id,MGI:1921262
mouse_strain,C57BL
pvalue,0.6550901
