analysis_id,18aoiq0pr4fx78v
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:1913396
parameter_name,Lens Opacity
mouse_life_stage,Early adult
pvalue,0.4154425
gene_symbol,Maco1
