gene_symbol,Kcng1
parameter_name,% Pre-pulse inhibition - PPI1
gene_accession_id,MGI:3616086
mouse_strain,C56BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_033_001
pvalue,0.9200158
analysis_id,n06kv7n84535eo8
