parameter_name,Femur
analysis_id,9673934825i11tn
pvalue,0.4908617
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Early adult
mouse_strain,C57BL
